,id,title,city,postDate,updateDate,tags,commentCount,upRank,downRank,start_price
40,69908410,ثلاجة هيتاشي,الرياض,2021-01-30 06:00:32,2021-01-30 06:00:32,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,0
41,69905594,فورن اردني,تبوك,2021-01-30 02:38:40,2021-01-30 02:38:40,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,150
42,69905595,فورن اردني,تبوك,2021-01-30 02:38:40,2021-01-30 02:38:40,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,150
43,69905546,جده حراج الصورايخ,جده,2021-01-30 02:36:32,2021-01-30 02:36:32,"['حراج الأجهزة', 'هيتاشي Hitachi']",1,0,0,0
44,69903366,غسالة هيتاشي 13 كيلو للبيع,الرياض,2021-01-30 01:05:00,2021-01-30 01:05:00,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,0
45,69890814,ثلاجة توشيبا  14قدم وكنب مقاس4 5نظيف ,المدينة,2021-01-29 19:36:40,2021-01-29 19:36:40,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,0
46,69885039,ثلاجة هيتاشي توشيبا LG سامسونج ثلاجات مخفضة,جده,2021-01-29 17:45:17,2021-01-29 17:45:17,"['ثلاجة', 'حراج الأجهزة', 'هيتاشي Hitachi']",2,0,0,0
47,69876021,ثلاجة هيتاشي للبيع نظيفه,المدينة,2021-01-29 14:46:58,2021-01-29 14:46:58,"['حراج الأجهزة', 'هيتاشي Hitachi']",7,0,0,300
48,69865297,ثلاجة هيتاشي حجم كبير تبريد ممتاز ما شاء الله,مكه,2021-01-29 08:32:47,2021-01-29 08:32:47,"['Packaged goods', 'حراج الأجهزة', 'هيتاشي Hitachi']",2,0,0,800
49,69864906,مكنسة هيتاشي,الرياض,2021-01-29 07:55:03,2021-01-29 07:55:03,"['أجهزة منزلية', 'حراج الأجهزة', 'هيتاشي Hitachi']",3,1,0,0
50,69858463,فريزر دولاب ,أبها,2021-01-29 00:56:41,2021-01-29 00:56:41,"['ثلاجة', 'حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,0
51,69847841,النسيم الغربي,الرياض,2021-01-28 19:59:10,2021-01-28 19:59:10,"['حراج الأجهزة', 'هيتاشي Hitachi']",1,0,0,0
52,69836379,الموقع القيصومه,حفر الباطن,2021-01-28 16:16:27,2021-01-28 16:16:27,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,0
53,69823526,غسالة ملابس  مستعملة للبيع نوع هيتاشي,الرياض,2021-01-28 11:18:27,2021-01-28 11:18:27,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,0,0,0
54,69817011,مكيفات حديثه,الرياض,2021-01-28 07:29:49,2021-01-28 07:29:49,"['حراج الأجهزة', 'هيتاشي Hitachi']",0,15,0,1550
55,69813296,ثلاجة هيتاشي الباب مفكوك,المدينة,2021-01-28 02:32:41,2021-01-28 02:32:41,"['حراج الأجهزة', 'كل الحراج', 'هيتاشي Hitachi']",0,0,0,0
56,69803717,حفر الباطن - اغراض مغسله   حد,الرياض,2021-01-27 21:45:52,2021-01-27 21:45:52,"['حراج الأجهزة', 'هيتاشي Hitachi']",1,0,0,0
57,69803046,ثلاجة هيتاشي تعمل بشكل ممتاز جدا,الرياض,2021-01-27 21:30:18,2021-01-27 21:30:18,"['حراج الأجهزة', 'هيتاشي Hitachi']",17,0,0,0
58,69796785,ثلاجة هيتاشى للبيع بحالة ممتازة,القصيم,2021-01-27 19:29:34,2021-01-27 19:29:34,"['حراج الأجهزة', 'كل الحراج', 'هيتاشي Hitachi']",9,0,0,0
59,69933830,تذاكر فيلم وقفة رجاله اليوم,جده,2021-01-30 17:54:47,2021-01-30 17:54:47,"['حراج الأجهزة', 'فوجي فيلم fujifilm']",0,0,0,0
60,69920009,كمره فوجي,الرياض,2021-01-30 13:31:41,2021-01-30 13:31:41,"['حراج الأجهزة', 'فوجي فيلم fujifilm', 'كل الحراج']",0,0,0,0
61,69918730,fujifilm xt20 camera,تبوك,2021-01-30 13:05:02,2021-01-30 13:05:02,"['حراج الأجهزة', 'فوجي فيلم fujifilm', 'كاميرا']",3,0,0,0
